order_id,order_date,customer_id,region_code,market,category,channel,quantity,unit_price,discount_pct,order_amount,cogs
O-00029,2025-07-01,C-0260,APAC,ANZ,Services,Online,2,578.59,0.2398,879.73,720.02
O-00030,2025-07-01,C-0378,EU,Benelux & Nordics,Services,Direct,17,587.72,0.3500,6494.31,6132.75
O-00031,2025-07-02,C-0402,APAC,Greater China,Support & CS,Online,3,1331.78,0.2550,2976.58,2248.83
O-00032,2025-07-02,C-0123,APAC,Japan,Hardware,Partner,1,1434.12,0.3500,932.18,977.37
O-00033,2025-07-02,C-0255,EU,UK & Ireland,Software,Direct,98,292.55,0.3500,18635.44,8657.32
O-00034,2025-07-02,C-0224,US,US West,Software,Direct,74,522.36,0.3500,25125.52,11397.48
O-00035,2025-07-02,C-0729,US,US East,Software,Online,64,195.05,0.2667,9153.71,3582.08
O-00036,2025-07-02,C-0490,US,US West,Software,Partner,74,81.23,0.3336,4005.91,1772.30
O-00037,2025-07-02,C-0781,APAC,Greater China,Hardware,Partner,16,869.48,0.3436,9131.11,9498.88
O-00038,2025-07-02,C-0604,EU,Southern Europe,Hardware,Direct,8,943.27,0.3500,4905.00,5179.76
O-00039,2025-07-02,C-0703,EU,DACH,Hardware,Partner,15,2951.43,0.3491,28818.44,30452.85
O-00040,2025-07-02,C-0692,US,US East,Software,Partner,87,557.02,0.3500,31499.48,14131.41
O-00041,2025-07-02,C-0381,EU,DACH,Hardware,Online,16,1334.98,0.2530,15956.70,14069.44
O-00042,2025-07-02,C-0335,US,US West,Software,Partner,77,637.91,0.3500,31927.40,14860.23
O-00043,2025-07-02,C-0505,APAC,Greater China,Software,Direct,88,644.41,0.3500,36860.25,16888.96
O-00044,2025-07-02,C-0750,US,US Central,Support & CS,Partner,4,1662.10,0.3500,4321.46,3606.04
O-00045,2025-07-02,C-0316,US,US East,Hardware,Direct,17,1539.70,0.3500,17013.69,16737.86
O-00046,2025-07-02,C-0624,US,US West,Hardware,Partner,4,2215.38,0.3500,5759.99,5664.40
O-00047,2025-07-02,C-0065,EU,DACH,Software,Direct,76,225.86,0.3500,11157.48,5205.24
O-00048,2025-07-02,C-0143,US,US Central,Hardware,Partner,14,1718.66,0.3474,15701.58,15740.20
O-00049,2025-07-02,C-0765,US,US East,Support & CS,Partner,11,1258.95,0.3500,9001.49,7581.09
O-00050,2025-07-02,C-0258,EU,UK & Ireland,Software,Partner,119,200.14,0.3460,15576.36,7331.59
O-00051,2025-07-02,C-0232,EU,Southern Europe,Hardware,Online,2,2328.04,0.2667,3414.52,3175.74
O-00052,2025-07-02,C-0402,APAC,Greater China,Software,Direct,52,350.76,0.3500,11855.69,5403.32
O-00053,2025-07-02,C-0194,US,US West,Software,Direct,59,94.21,0.3500,3612.95,1646.69
O-00054,2025-07-03,C-0641,APAC,Greater China,Services,Partner,16,509.19,0.3500,5295.58,4983.52
O-00055,2025-07-03,C-0455,US,US West,Services,Partner,19,463.00,0.3500,5718.05,5260.91
O-00056,2025-07-03,C-0395,US,US West,Hardware,Partner,6,3973.47,0.3500,15496.53,15961.74
O-00057,2025-07-03,C-0537,EU,UK & Ireland,Software,Partner,48,376.69,0.3500,11752.73,5583.84
O-00058,2025-07-03,C-0452,APAC,Southeast Asia,Software,Online,5,361.76,0.2735,1314.05,535.50
O-00059,2025-07-03,C-0540,US,US Central,Hardware,Partner,5,2814.83,0.3460,9204.36,8892.30
O-00060,2025-07-03,C-0077,EU,UK & Ireland,Hardware,Partner,6,1843.25,0.3500,7188.68,7427.16
O-00061,2025-07-03,C-0548,US,US Central,Software,Online,93,292.75,0.2384,20736.44,8169.12
O-00062,2025-07-03,C-0226,EU,UK & Ireland,Software,Partner,21,126.43,0.3472,1733.30,802.20
O-00063,2025-07-03,C-0256,US,US Central,Software,Online,76,786.62,0.2722,43508.33,18142.72
O-00064,2025-07-03,C-0343,US,US West,Hardware,Direct,2,389.86,0.3500,506.82,491.86
O-00065,2025-07-03,C-0368,EU,DACH,Services,Partner,1,560.61,0.3500,364.40,360.22
O-00066,2025-07-03,C-0103,US,US East,Software,Partner,35,289.72,0.3400,6692.15,2928.80
O-00067,2025-07-03,C-0324,US,US Central,Hardware,Partner,3,1257.06,0.3302,2525.89,2513.13
O-00068,2025-07-03,C-0053,APAC,Japan,Services,Partner,9,620.35,0.3324,3727.53,3553.92
O-00069,2025-07-03,C-0769,US,US West,Services,Partner,34,497.04,0.3500,10984.58,10430.18
O-00070,2025-07-03,C-0391,EU,DACH,Hardware,Partner,12,2536.63,0.3480,19845.25,20463.60
O-00071,2025-07-03,C-0227,US,US East,Hardware,Partner,17,3973.51,0.3375,44750.44,44786.33
O-00072,2025-07-03,C-0621,APAC,ANZ,Hardware,Direct,6,2305.74,0.3500,8992.39,8916.54
O-00073,2025-07-03,C-0693,EU,Southern Europe,Software,Direct,17,548.92,0.3500,6065.57,2894.93
O-00074,2025-07-03,C-0739,US,US Central,Software,Direct,105,452.15,0.3500,30859.24,13642.65
O-00075,2025-07-03,C-0295,US,US East,Software,Partner,62,673.13,0.3495,27146.81,12336.14
O-00076,2025-07-03,C-0564,EU,DACH,Software,Partner,70,102.16,0.3309,4784.78,2114.70
O-00077,2025-07-03,C-0206,APAC,Japan,Hardware,Partner,4,2613.97,0.3500,6796.32,6735.40
O-00078,2025-07-03,C-0699,US,US Central,Hardware,Direct,17,2059.24,0.3500,22754.60,22822.67
O-00079,2025-07-03,C-0407,EU,UK & Ireland,Support & CS,Direct,3,632.46,0.3500,1233.30,1062.69
O-00080,2025-07-04,C-0090,APAC,Southeast Asia,Support & CS,Partner,6,1445.72,0.3335,5781.03,4737.78
O-00081,2025-07-04,C-0015,US,US East,Hardware,Partner,4,2131.37,0.3500,5541.56,5524.00
O-00082,2025-07-04,C-0682,APAC,Southeast Asia,Services,Partner,41,421.49,0.3409,11390.43,10641.55
O-00083,2025-07-04,C-0326,EU,Benelux & Nordics,Hardware,Direct,5,1575.67,0.3500,5120.93,5246.00
O-00084,2025-07-04,C-0186,APAC,ANZ,Hardware,Direct,10,1724.01,0.3500,11206.06,11315.00
O-00085,2025-07-04,C-0094,EU,Benelux & Nordics,Hardware,Partner,12,2526.51,0.3500,19706.78,19722.36
O-00086,2025-07-04,C-0035,APAC,Greater China,Services,Partner,32,374.34,0.3433,7866.43,7344.64
O-00087,2025-07-04,C-0035,APAC,Greater China,Services,Online,2,608.32,0.2708,887.18,779.58
O-00088,2025-07-04,C-0532,EU,DACH,Services,Partner,34,289.64,0.3451,6449.70,6134.28
O-00089,2025-07-04,C-0609,EU,DACH,Hardware,Online,2,1545.32,0.2601,2286.76,2015.30
O-00090,2025-07-04,C-0392,EU,Southern Europe,Support & CS,Direct,7,1850.82,0.3500,8421.23,7395.08
O-00091,2025-07-04,C-0767,US,US East,Hardware,Partner,14,1546.12,0.3356,14381.83,13990.20
O-00092,2025-07-04,C-0208,US,US East,Hardware,Partner,14,3282.20,0.3429,30193.95,30202.06
O-00093,2025-07-04,C-0130,EU,Southern Europe,Services,Partner,34,242.37,0.3370,5463.58,5275.10
O-00094,2025-07-04,C-0762,EU,Benelux & Nordics,Software,Direct,81,302.79,0.3500,15941.89,7496.55
O-00095,2025-07-04,C-0176,APAC,Greater China,Software,Direct,100,331.63,0.3500,21555.95,9726.00
O-00096,2025-07-04,C-0490,US,US West,Services,Partner,45,210.98,0.3368,6296.61,5859.00
O-00097,2025-07-04,C-0604,EU,Southern Europe,Software,Direct,79,894.28,0.3500,45921.28,22049.69
O-00098,2025-07-04,C-0363,EU,DACH,Software,Direct,27,272.68,0.3500,4785.53,2218.05
O-00099,2025-07-04,C-0432,APAC,ANZ,Software,Direct,41,532.49,0.3500,14190.86,6775.25
O-00100,2025-07-04,C-0137,EU,DACH,Services,Partner,32,252.82,0.3499,5259.69,4984.96
O-00101,2025-07-04,C-0706,APAC,Japan,Support & CS,Partner,11,955.26,0.3500,6830.11,5681.06
O-00102,2025-07-04,C-0077,EU,UK & Ireland,Software,Partner,60,691.73,0.3435,27246.55,12859.80
O-00103,2025-07-04,C-0134,EU,UK & Ireland,Support & CS,Online,8,2246.35,0.2535,13415.07,10049.04
O-00104,2025-07-04,C-0010,APAC,Southeast Asia,Hardware,Partner,14,2085.13,0.3500,18974.68,19547.78
O-00105,2025-07-04,C-0673,US,US West,Hardware,Online,3,3865.58,0.2680,8489.38,7640.04
O-00106,2025-07-04,C-0743,US,US Central,Software,Partner,12,787.39,0.3379,6255.89,2832.72
O-00107,2025-07-04,C-0082,EU,Southern Europe,Support & CS,Partner,4,1567.54,0.3302,4199.67,3472.08
O-00108,2025-07-04,C-0708,EU,DACH,Services,Online,26,565.12,0.2747,10656.75,9273.42
O-00109,2025-07-04,C-0054,EU,UK & Ireland,Hardware,Direct,6,880.96,0.3500,3435.74,3643.62
O-00110,2025-07-04,C-0437,US,US West,Hardware,Direct,13,3213.13,0.3500,27150.95,26354.64
O-00111,2025-07-04,C-0068,EU,UK & Ireland,Services,Partner,15,234.48,0.3389,2325.26,2221.65
O-00112,2025-07-05,C-0374,APAC,ANZ,Hardware,Partner,7,1528.10,0.3500,6952.85,7125.51
O-00113,2025-07-05,C-0134,EU,UK & Ireland,Software,Partner,24,633.19,0.3339,10121.86,4662.24
O-00114,2025-07-05,C-0608,APAC,Greater China,Support & CS,Partner,5,992.06,0.3500,3224.19,2734.40
O-00115,2025-07-05,C-0674,EU,DACH,Hardware,Direct,1,4189.46,0.3500,2723.15,2740.30
O-00116,2025-07-05,C-0195,APAC,Southeast Asia,Hardware,Direct,5,3609.06,0.3500,11729.44,11921.95
O-00117,2025-07-05,C-0769,US,US West,Services,Direct,44,133.42,0.3500,3815.81,3648.92
O-00118,2025-07-05,C-0193,US,US West,Software,Direct,35,84.40,0.3500,1920.10,894.95
O-00119,2025-07-05,C-0024,EU,UK & Ireland,Software,Online,70,689.33,0.2519,36097.37,14831.60
O-00120,2025-07-05,C-0319,APAC,Japan,Services,Partner,23,125.26,0.3347,1916.70,1763.87
O-00121,2025-07-05,C-0724,EU,DACH,Hardware,Partner,10,3164.69,0.3500,20570.49,20841.20
O-00122,2025-07-05,C-0318,US,US East,Hardware,Direct,16,2489.33,0.3500,25889.03,25563.36
O-00123,2025-07-05,C-0516,APAC,Southeast Asia,Software,Online,19,709.22,0.2479,10134.02,4078.54
O-00124,2025-07-05,C-0455,US,US West,Support & CS,Online,12,768.13,0.2733,6698.80,4947.36
O-00125,2025-07-05,C-0699,US,US Central,Services,Direct,24,457.07,0.3500,7130.29,6732.48
O-00126,2025-07-05,C-0054,EU,UK & Ireland,Hardware,Direct,7,505.39,0.3500,2299.52,2318.12
O-00127,2025-07-05,C-0199,APAC,ANZ,Hardware,Online,18,4172.09,0.2714,54712.58,50250.42
O-00128,2025-07-05,C-0229,US,US West,Software,Partner,114,686.54,0.3500,50872.61,22855.86
O-00129,2025-07-05,C-0227,US,US East,Hardware,Partner,17,1942.64,0.3500,21466.17,21735.86
O-00130,2025-07-05,C-0378,EU,Benelux & Nordics,Hardware,Partner,2,1765.43,0.3354,2346.72,2430.90
O-00131,2025-07-05,C-0090,APAC,Southeast Asia,Hardware,Partner,14,2147.86,0.3433,19747.47,20316.94
O-00132,2025-07-05,C-0761,US,US West,Hardware,Direct,16,1279.06,0.3500,13302.22,13243.04
O-00133,2025-07-05,C-0071,APAC,Greater China,Support & CS,Online,10,2024.81,0.2731,14718.08,11020.00
O-00134,2025-07-05,C-0130,EU,Southern Europe,Hardware,Partner,12,489.05,0.3499,3815.04,3929.64
O-00135,2025-07-05,C-0310,US,US Central,Hardware,Partner,17,2102.14,0.3485,23283.70,23793.20
O-00136,2025-07-05,C-0448,EU,UK & Ireland,Hardware,Partner,9,3936.96,0.3422,23307.88,23537.16
O-00137,2025-07-05,C-0054,EU,UK & Ireland,Hardware,Online,11,4164.32,0.2539,34175.06,30729.49
O-00138,2025-07-05,C-0279,US,US East,Software,Direct,87,592.57,0.3500,33509.83,15249.36
O-00139,2025-07-05,C-0201,APAC,Greater China,Software,Online,60,547.45,0.2632,24200.99,9908.40
O-00140,2025-07-05,C-0579,APAC,ANZ,Hardware,Partner,4,453.59,0.3500,1179.33,1232.80
O-00141,2025-07-06,C-0292,APAC,Japan,Hardware,Direct,7,1585.39,0.3500,7213.52,7262.50
O-00142,2025-07-06,C-0663,EU,DACH,Hardware,Partner,14,3155.13,0.3500,28711.68,30186.38
O-00143,2025-07-06,C-0328,US,US Central,Hardware,Partner,17,3445.89,0.3500,38077.08,38174.18
O-00144,2025-07-06,C-0636,APAC,Japan,Software,Direct,65,859.26,0.3500,36303.74,17006.60
O-00145,2025-07-06,C-0290,EU,Southern Europe,Support & CS,Online,6,1328.13,0.2301,6135.33,4475.04
O-00146,2025-07-06,C-0249,EU,DACH,Hardware,Direct,3,1283.60,0.3500,2503.02,2649.06
O-00147,2025-07-06,C-0688,US,US East,Hardware,Partner,2,1920.10,0.3500,2496.13,2569.92
O-00148,2025-07-06,C-0491,US,US East,Hardware,Partner,14,574.72,0.3462,5260.34,5316.36
O-00149,2025-07-06,C-0065,EU,DACH,Services,Partner,33,305.50,0.3317,6737.08,6304.98
O-00150,2025-07-06,C-0489,APAC,Greater China,Hardware,Direct,15,865.71,0.3500,8440.67,8499.45
O-00151,2025-07-06,C-0113,US,US East,Hardware,Direct,4,2496.14,0.3500,6489.96,6343.28
O-00152,2025-07-06,C-0617,APAC,ANZ,Support & CS,Partner,12,1925.03,0.3500,15015.23,12763.20
O-00153,2025-07-06,C-0416,EU,Benelux & Nordics,Software,Online,98,488.04,0.2619,35299.58,14762.72
O-00154,2025-07-06,C-0777,EU,UK & Ireland,Software,Direct,86,397.77,0.3500,22235.34,10342.36
O-00155,2025-07-06,C-0281,US,US Central,Hardware,Direct,15,1929.26,0.3500,18810.28,19344.45
O-00156,2025-07-06,C-0266,US,US West,Services,Online,33,544.42,0.2318,13801.74,10962.60
O-00157,2025-07-06,C-0115,US,US East,Support & CS,Partner,7,1724.09,0.3500,7844.61,6487.39
O-00158,2025-07-06,C-0716,APAC,Southeast Asia,Services,Partner,41,346.40,0.3500,9231.56,9004.83
O-00159,2025-07-06,C-0597,APAC,ANZ,Software,Partner,7,813.96,0.3500,3703.52,1676.43
O-00160,2025-07-06,C-0152,EU,DACH,Services,Online,44,619.04,0.2735,19787.22,17012.16
O-00161,2025-07-06,C-0774,US,US East,Software,Direct,10,224.91,0.3500,1461.91,656.60
O-00162,2025-07-06,C-0662,EU,DACH,Support & CS,Partner,9,1379.91,0.3472,8107.08,6763.77
O-00163,2025-07-06,C-0629,US,US East,Support & CS,Partner,2,1160.28,0.3381,1535.99,1259.86
O-00164,2025-07-06,C-0423,US,US East,Services,Online,35,633.85,0.2620,16372.16,13513.85
O-00165,2025-07-06,C-0614,US,US West,Software,Partner,48,220.98,0.3364,7038.56,3133.44
O-00166,2025-07-06,C-0577,US,US East,Hardware,Online,13,3749.29,0.2345,37312.68,30790.76
O-00167,2025-07-06,C-0110,EU,DACH,Software,Direct,9,503.42,0.3500,2945.01,1414.53
O-00168,2025-07-06,C-0781,APAC,Greater China,Software,Partner,83,684.03,0.3500,36903.42,17532.09
O-00169,2025-07-06,C-0235,EU,Southern Europe,Services,Direct,21,564.89,0.3500,7710.75,7634.13
O-00170,2025-07-06,C-0501,US,US West,Support & CS,Partner,5,1027.21,0.3343,3419.24,2810.00
O-00171,2025-07-06,C-0290,EU,Southern Europe,Support & CS,Online,2,1469.95,0.2429,2225.90,1605.26
O-00172,2025-07-06,C-0161,APAC,ANZ,Hardware,Online,11,1324.76,0.2451,11001.10,9848.30
O-00173,2025-07-06,C-0327,EU,Benelux & Nordics,Software,Partner,77,540.00,0.3500,27027.00,12788.93
O-00174,2025-07-07,C-0368,EU,DACH,Software,Partner,65,79.11,0.3405,3391.50,1569.10
O-00175,2025-07-07,C-0649,EU,DACH,Hardware,Direct,3,2429.50,0.3500,4737.53,5015.61
O-00176,2025-07-07,C-0055,EU,UK & Ireland,Services,Online,41,471.76,0.2531,14447.23,12252.85
O-00177,2025-07-07,C-0568,APAC,ANZ,Hardware,Direct,7,4136.11,0.3500,18819.30,19221.30
O-00178,2025-07-07,C-0277,EU,UK & Ireland,Software,Direct,6,313.93,0.3500,1224.33,562.08
O-00179,2025-07-07,C-0437,US,US West,Support & CS,Partner,10,2254.11,0.3500,14651.72,12009.80
O-00180,2025-07-07,C-0630,US,US Central,Services,Partner,5,388.85,0.3403,1282.67,1185.20
O-00181,2025-07-07,C-0096,US,US East,Software,Partner,105,455.82,0.3317,31985.30,14498.40
O-00182,2025-07-07,C-0570,EU,Southern Europe,Support & CS,Online,10,371.72,0.2654,2730.58,2112.10
O-00183,2025-07-07,C-0688,US,US East,Software,Partner,78,662.92,0.3500,33610.04,15595.32
O-00184,2025-07-07,C-0032,EU,Southern Europe,Support & CS,Online,12,2143.25,0.2638,18935.23,14048.64
O-00185,2025-07-07,C-0281,US,US Central,Hardware,Partner,17,2840.28,0.3500,31385.09,31877.21
O-00186,2025-07-07,C-0002,APAC,Japan,Services,Partner,4,284.89,0.3500,740.71,713.72
O-00187,2025-07-07,C-0352,US,US West,Software,Partner,45,485.50,0.3500,14200.88,6332.40
O-00188,2025-07-07,C-0577,US,US East,Services,Direct,36,600.25,0.3500,14045.85,13150.44
O-00189,2025-07-07,C-0072,APAC,ANZ,Software,Partner,55,253.95,0.3500,9078.71,4117.85
O-00190,2025-07-07,C-0309,EU,UK & Ireland,Hardware,Partner,16,3842.32,0.3500,39960.13,41654.24
O-00191,2025-07-07,C-0324,US,US Central,Services,Partner,9,309.81,0.3440,1829.05,1723.41
O-00192,2025-07-07,C-0757,EU,Southern Europe,Software,Partner,67,334.39,0.3341,14919.04,6687.27
O-00193,2025-07-07,C-0619,APAC,Southeast Asia,Services,Partner,34,274.87,0.3500,6074.63,5770.14
O-00194,2025-07-07,C-0579,APAC,ANZ,Hardware,Partner,16,2085.95,0.3500,21693.88,22017.76
O-00195,2025-07-07,C-0208,US,US East,Support & CS,Partner,7,1391.60,0.3500,6331.78,5237.47
O-00196,2025-07-07,C-0621,APAC,ANZ,Services,Partner,1,428.87,0.3498,278.87,269.72
O-00197,2025-07-07,C-0671,EU,DACH,Hardware,Partner,7,1847.16,0.3500,8404.58,8468.46
O-00198,2025-07-07,C-0029,US,US West,Hardware,Direct,8,405.99,0.3500,2111.15,2126.16
O-00199,2025-07-08,C-0608,APAC,Greater China,Support & CS,Direct,8,1589.84,0.3500,8267.17,7209.20
O-00200,2025-07-08,C-0316,US,US East,Hardware,Direct,8,1009.41,0.3500,5248.93,5373.28
O-00201,2025-07-08,C-0310,US,US Central,Support & CS,Partner,2,1748.73,0.3500,2273.35,1937.38
O-00202,2025-07-08,C-0144,EU,Benelux & Nordics,Support & CS,Online,9,882.49,0.2374,6056.66,4366.62
O-00203,2025-07-08,C-0387,US,US Central,Software,Direct,50,222.66,0.3500,7236.45,3202.50
O-00204,2025-07-08,C-0275,EU,UK & Ireland,Software,Online,11,533.87,0.2749,4258.41,1796.74
O-00205,2025-07-08,C-0525,EU,Benelux & Nordics,Hardware,Partner,2,4004.35,0.3500,5205.65,5283.24
O-00206,2025-07-08,C-0370,EU,UK & Ireland,Hardware,Direct,12,3378.11,0.3500,26349.26,27358.68
O-00207,2025-07-08,C-0192,APAC,Japan,Software,Direct,19,572.83,0.3500,7074.45,3268.95
O-00208,2025-07-08,C-0142,US,US East,Services,Direct,4,242.39,0.3500,630.21,585.12
O-00209,2025-07-08,C-0666,US,US East,Software,Partner,82,614.68,0.3500,32762.44,15011.74
O-00210,2025-07-08,C-0109,US,US East,Hardware,Partner,4,2551.77,0.3500,6634.60,6683.28
O-00211,2025-07-08,C-0345,EU,UK & Ireland,Software,Partner,100,475.94,0.3482,31023.23,14417.00
O-00212,2025-07-08,C-0393,EU,Southern Europe,Hardware,Direct,3,2677.90,0.3500,5221.91,5507.52
O-00213,2025-07-08,C-0171,EU,Southern Europe,Software,Partner,86,77.22,0.3440,4356.33,2019.28
O-00214,2025-07-08,C-0179,EU,DACH,Software,Online,105,726.95,0.2363,58289.91,23457.00
O-00215,2025-07-08,C-0014,US,US West,Services,Partner,25,128.97,0.3384,2133.19,1999.75
O-00216,2025-07-08,C-0096,US,US East,Hardware,Direct,17,2455.76,0.3500,27136.15,26360.37
O-00217,2025-07-08,C-0184,US,US West,Hardware,Partner,4,1822.21,0.3500,4737.75,4753.04
O-00218,2025-07-08,C-0338,EU,UK & Ireland,Hardware,Direct,16,2559.05,0.3500,26614.12,27691.52
O-00219,2025-07-08,C-0363,EU,DACH,Services,Partner,19,251.92,0.3343,3186.12,2996.49
O-00220,2025-07-08,C-0008,EU,Southern Europe,Software,Partner,98,165.32,0.3500,10530.88,5045.04
O-00221,2025-07-08,C-0471,US,US East,Hardware,Online,18,2618.02,0.2415,35742.24,29871.90
O-00222,2025-07-08,C-0150,US,US Central,Hardware,Partner,3,1791.44,0.3500,3493.31,3442.59
O-00223,2025-07-08,C-0744,US,US East,Hardware,Direct,18,1487.12,0.3500,17399.30,17767.98
O-00224,2025-07-08,C-0763,APAC,ANZ,Support & CS,Partner,9,1567.77,0.3459,9229.10,7985.34
O-00225,2025-07-08,C-0708,EU,DACH,Software,Online,119,605.56,0.2553,53663.55,21337.89
O-00226,2025-07-08,C-0206,APAC,Japan,Hardware,Online,5,3421.39,0.2530,12779.58,11283.90
O-00227,2025-07-08,C-0462,EU,Benelux & Nordics,Software,Partner,83,873.69,0.3500,47135.58,21540.99
O-00228,2025-07-08,C-0690,US,US Central,Software,Online,74,434.18,0.2331,24638.91,9688.08
O-00229,2025-07-08,C-0232,EU,Southern Europe,Hardware,Direct,15,3092.30,0.3500,30149.92,30970.05
O-00230,2025-07-08,C-0394,EU,DACH,Hardware,Partner,6,1527.26,0.3500,5956.31,6042.60
O-00231,2025-07-08,C-0381,EU,DACH,Hardware,Partner,10,548.42,0.3500,3564.73,3665.50
O-00232,2025-07-08,C-0699,US,US Central,Hardware,Online,7,2065.62,0.2674,10592.81,9245.88
O-00233,2025-07-08,C-0356,US,US West,Services,Partner,34,278.68,0.3428,6227.12,5668.82
O-00234,2025-07-09,C-0283,APAC,Southeast Asia,Software,Direct,27,154.27,0.3500,2707.44,1276.83
O-00235,2025-07-09,C-0580,EU,Benelux & Nordics,Hardware,Partner,12,2223.04,0.3500,17339.71,17804.04
O-00236,2025-07-09,C-0403,EU,DACH,Hardware,Partner,8,1919.18,0.3500,9979.74,10170.64
O-00237,2025-07-09,C-0618,EU,DACH,Support & CS,Direct,3,2070.96,0.3500,4038.37,3529.23
O-00238,2025-07-09,C-0499,US,US West,Hardware,Online,14,3363.06,0.2764,34067.81,31072.16
O-00239,2025-07-09,C-0664,APAC,Japan,Hardware,Online,17,992.00,0.2379,12851.42,11307.04
O-00240,2025-07-09,C-0619,APAC,Southeast Asia,Hardware,Partner,13,1554.76,0.3500,13137.72,13154.18
O-00241,2025-07-09,C-0777,EU,UK & Ireland,Hardware,Partner,13,3792.53,0.3452,32283.25,32311.11
O-00242,2025-07-09,C-0800,US,US Central,Services,Partner,33,570.58,0.3500,12238.94,11813.01
O-00243,2025-07-09,C-0123,APAC,Japan,Hardware,Direct,13,1207.55,0.3500,10203.80,10534.29
O-00244,2025-07-09,C-0112,EU,UK & Ireland,Software,Direct,64,561.17,0.3500,23344.67,11058.56
O-00245,2025-07-09,C-0380,US,US West,Software,Partner,21,260.15,0.3500,3551.05,1659.84
O-00246,2025-07-09,C-0103,US,US East,Hardware,Partner,17,3913.85,0.3419,43787.86,42138.92
O-00247,2025-07-09,C-0494,APAC,Southeast Asia,Support & CS,Partner,6,1676.50,0.3332,6707.34,5626.26
O-00248,2025-07-09,C-0676,APAC,ANZ,Hardware,Direct,9,3132.33,0.3500,18324.13,18531.18
O-00249,2025-07-09,C-0568,APAC,ANZ,Software,Partner,99,616.83,0.3500,39693.01,18666.45
O-00250,2025-07-09,C-0397,US,US East,Hardware,Online,10,2998.16,0.2411,22753.06,19993.10
O-00251,2025-07-09,C-0186,APAC,ANZ,Services,Online,13,533.91,0.2640,5108.47,4260.88
O-00252,2025-07-09,C-0326,EU,Benelux & Nordics,Hardware,Direct,9,1918.23,0.3500,11221.65,11612.88
O-00253,2025-07-09,C-0290,EU,Southern Europe,Services,Partner,9,267.82,0.3461,1576.27,1476.18
O-00254,2025-07-09,C-0057,EU,Southern Europe,Services,Partner,12,360.80,0.3399,2857.99,2767.92
O-00255,2025-07-09,C-0127,EU,UK & Ireland,Services,Partner,23,236.09,0.3354,3608.82,3405.15
